FECHA;FERIADO
1/1/2015;1
1/1/2016;1
1/1/2017;1
1/1/2018;1
24/3/2015;1
24/3/2016;1
24/3/2017;1
24/3/2018;1
2/4/2015;1
2/4/2016;1
2/4/2017;1
2/4/2018;1
1/5/2015;1
1/5/2016;1
1/5/2017;1
1/5/2018;1
25/5/2015;1
25/5/2016;1
25/5/2017;1
25/5/2018;1
20/6/2015;1
20/6/2016;1
20/6/2017;1
20/6/2018;1
9/7/2015;1
9/7/2016;1
9/7/2017;1
9/7/2018;1
25/12/2015;1
25/12/2016;1
25/12/2017;1
25/12/2018;1
16/2/2015;1
17/2/2015;1
23/3/2015;1
3/4/2015;1
17/8/2015;1
7/12/2015;1
8/2/2016;1
9/2/2016;1
25/3/2016;1
15/8/2016;1
9/12/2016;1
27/2/2017;1
28/2/2017;1
14/4/2017;1
21/8/2017;1
16/10/2017;1
23/11/2015;1
28/11/2016;1
20/11/2017;1
12/2/2018;1
13/2/2018;1
24/3/2018;1
30/3/2018;1
30/4/2018;1
20/8/2018;1
17/10/2018;1
19/11/2018;1
24/12/2018;1
31/12/2018;1
